userid,coffeeid,Stars,created_date,body,sour,sweet,bitter,caf,blend,single,지속가능성_0,지속가능성_공정무역,지속가능성_유기농,지속가능성_직접무역,로스팅 포인트_다크,로스팅 포인트_라이트,로스팅 포인트_라이트미디엄,로스팅 포인트_미디엄,로스팅 포인트_미디엄다크,꽃,과일,허브,달콤함,고소함,향료,초콜릿,Caffeine,CoffeeType,CupNoteCategories,Body,Sourness,Sweetness,Bitterness
0,60,4,2023-11-15 12:45:57.508133,3,3,4,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,"['초콜릿', '고소함']",4,1,4,2
0,149,5,2023-11-15 12:45:57.511119,3,1,3,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,"['초콜릿', '고소함']",4,1,4,2
0,177,1,2023-11-15 12:45:57.513877,2,3,4,2,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,"['초콜릿', '고소함']",4,1,4,2
0,205,4,2023-11-15 12:45:57.515229,5,2,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"['초콜릿', '고소함']",4,1,4,2
0,215,5,2023-11-15 12:45:57.518882,4,1,5,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"['초콜릿', '고소함']",4,1,4,2
0,295,5,2023-11-15 12:45:57.523182,4,2,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,"['초콜릿', '고소함']",4,1,4,2
0,299,5,2023-11-15 12:45:57.525902,3,1,4,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"['초콜릿', '고소함']",4,1,4,2
0,366,4,2023-11-15 12:45:57.528423,4,2,4,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"['초콜릿', '고소함']",4,1,4,2
0,382,1,2023-11-15 12:45:57.530055,3,4,4,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"['초콜릿', '고소함']",4,1,4,2
0,484,4,2023-11-15 12:45:57.532767,3,2,3,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"['초콜릿', '고소함']",4,1,4,2
31,60,4,2023-11-16 05:26:40.961771,3,3,4,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,"['향료', '고소함', '허브']",5,4,3,4
31,359,1,2023-11-16 05:26:40.979823,3,4,4,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"['향료', '고소함', '허브']",5,4,3,4
31,15,4,2023-11-16 05:26:40.952062,4,2,5,3,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,"['향료', '고소함', '허브']",5,4,3,4
31,57,1,2023-11-16 05:26:40.957305,4,4,5,3,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,"['향료', '고소함', '허브']",5,4,3,4
31,76,1,2023-11-16 05:26:40.964884,5,4,5,2,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,"['향료', '고소함', '허브']",5,4,3,4
31,221,3,2023-11-16 05:26:40.968276,3,4,5,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"['향료', '고소함', '허브']",5,4,3,4
31,240,3,2023-11-16 05:26:40.971645,4,2,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"['향료', '고소함', '허브']",5,4,3,4
31,489,4,2023-11-16 05:26:40.983500,4,3,3,4,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['향료', '고소함', '허브']",5,4,3,4
31,491,5,2023-11-16 05:26:40.987119,4,1,4,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['향료', '고소함', '허브']",5,4,3,4
31,518,2,2023-11-16 05:26:40.990842,3,4,4,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"['향료', '고소함', '허브']",5,4,3,4
41,177,2,2023-11-16 11:29:15.306530,2,3,4,2,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,"['꽃', '초콜릿', '고소함']",4,4,3,2
41,381,2,2023-11-16 11:29:15.322933,3,3,4,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"['꽃', '초콜릿', '고소함']",4,4,3,2
41,155,3,2023-11-16 11:29:15.302961,4,2,4,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,"['꽃', '초콜릿', '고소함']",4,4,3,2
41,311,2,2023-11-16 11:29:15.315568,3,4,4,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"['꽃', '초콜릿', '고소함']",4,4,3,2
41,43,1,2023-11-16 11:29:15.298916,4,4,5,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,"['꽃', '초콜릿', '고소함']",4,4,3,2
41,36,1,2023-11-16 11:29:15.295227,4,2,5,4,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"['꽃', '초콜릿', '고소함']",4,4,3,2
41,182,4,2023-11-16 11:29:15.311776,3,3,4,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,"['꽃', '초콜릿', '고소함']",4,4,3,2
41,332,3,2023-11-16 11:29:15.319062,3,3,4,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"['꽃', '초콜릿', '고소함']",4,4,3,2
41,437,4,2023-11-16 11:29:15.326691,3,3,4,3,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"['꽃', '초콜릿', '고소함']",4,4,3,2
41,507,5,2023-11-16 11:29:15.330168,5,1,5,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['꽃', '초콜릿', '고소함']",4,4,3,2
27,205,3,2023-11-16 03:28:02.726312,5,2,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,['고소함'],4,2,3,2
27,146,3,2023-11-16 03:28:02.718513,4,3,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,['고소함'],4,2,3,2
27,270,3,2023-11-16 03:28:02.741152,3,3,4,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,['고소함'],4,2,3,2
