coffeeid,body,sour,sweet,bitter,caf,blend,single,지속가능성_0,지속가능성_공정무역,지속가능성_유기농,지속가능성_직접무역,로스팅 포인트_다크,로스팅 포인트_라이트,로스팅 포인트_라이트미디엄,로스팅 포인트_미디엄,로스팅 포인트_미디엄다크,꽃,과일,허브,달콤함,고소함,향료,초콜릿
0,2,3,5,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
1,4,2,4,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
2,4,2,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,4,4,5,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
4,2,4,4,2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
5,3,3,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
6,3,1,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
7,4,2,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
8,3,4,4,2,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
9,4,1,5,4,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
10,3,3,4,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
11,4,1,3,4,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
12,4,3,4,2,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
13,4,3,4,3,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
14,4,1,4,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,4,2,5,3,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
16,3,3,4,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
17,4,2,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
18,4,2,4,3,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
19,4,2,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
20,5,1,4,4,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
21,3,4,4,2,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
22,3,3,4,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
23,4,2,5,3,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
24,3,4,4,2,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
25,3,4,4,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
26,3,4,5,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
27,4,2,4,3,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
28,3,3,5,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
29,3,1,3,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
30,3,3,3,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
31,4,1,4,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
32,4,2,3,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
33,3,2,4,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
34,4,1,4,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
35,4,1,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
36,4,2,5,4,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
37,3,3,4,3,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
38,2,4,4,2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
39,3,2,4,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
40,2,4,4,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
41,4,2,4,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,3,4,5,2,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0
43,4,4,5,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1
44,4,3,5,3,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
45,4,3,4,4,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1
46,3,1,4,3,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
47,3,2,4,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
48,3,3,4,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
49,3,1,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
50,3,3,3,2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
51,3,4,5,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
52,4,3,2,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
53,5,2,3,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
54,3,3,4,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
55,4,2,4,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
56,5,1,5,4,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1
57,4,4,5,3,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
58,3,4,3,2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
59,4,2,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
60,3,3,4,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
61,3,3,4,2,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0
62,5,3,5,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
63,3,3,5,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
64,5,1,5,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
65,3,4,3,2,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
66,4,1,4,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
67,3,4,4,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
68,4,2,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
69,4,1,4,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
70,4,3,3,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
71,5,1,5,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
72,4,2,5,3,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
73,3,4,4,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
74,3,1,3,4,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1
75,4,1,5,3,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1
76,5,4,5,2,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
77,4,4,4,2,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
78,4,1,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
79,1,3,4,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
80,3,1,3,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1
81,3,2,3,3,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1
82,2,3,2,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
83,4,3,4,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
84,4,1,3,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1
85,4,1,4,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
86,5,1,5,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
87,4,1,4,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
88,4,2,5,3,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
89,4,1,3,4,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
90,3,3,4,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
91,5,1,4,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
92,4,4,5,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
93,5,3,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
