userid,coffeeid,Stars,created_date
0,60,4,2023-11-15 12:45:57.508133
0,149,5,2023-11-15 12:45:57.511119
0,177,1,2023-11-15 12:45:57.513877
0,205,4,2023-11-15 12:45:57.515229
0,215,5,2023-11-15 12:45:57.518882
0,295,5,2023-11-15 12:45:57.523182
0,299,5,2023-11-15 12:45:57.525902
0,366,4,2023-11-15 12:45:57.528423
0,382,1,2023-11-15 12:45:57.530055
0,484,4,2023-11-15 12:45:57.532767
1,64,5,2023-11-15 12:46:10.793300
1,73,1,2023-11-15 12:46:10.795829
1,152,2,2023-11-15 12:46:10.798218
1,260,5,2023-11-15 12:46:10.800701
1,336,1,2023-11-15 12:46:10.802160
1,372,4,2023-11-15 12:46:10.804992
1,385,1,2023-11-15 12:46:10.806638
1,408,5,2023-11-15 12:46:10.813633
1,419,3,2023-11-15 12:46:10.815216
1,536,5,2023-11-15 12:46:10.818605
3,90,1,2023-11-15 12:46:18.641231
3,141,1,2023-11-15 12:46:18.645059
3,315,5,2023-11-15 12:46:18.649072
3,345,1,2023-11-15 12:46:18.652766
3,380,1,2023-11-15 12:46:18.656392
3,382,1,2023-11-15 12:46:18.659999
3,436,5,2023-11-15 12:46:18.664242
3,439,1,2023-11-15 12:46:18.668074
3,454,5,2023-11-15 12:46:18.671912
3,472,5,2023-11-15 12:46:18.675619
4,88,5,2023-11-15 12:47:17.624634
4,89,3,2023-11-15 12:47:17.631863
4,114,4,2023-11-15 12:47:17.635157
4,154,5,2023-11-15 12:47:17.638538
4,312,3,2023-11-15 12:47:17.641757
4,346,5,2023-11-15 12:47:17.643448
4,399,4,2023-11-15 12:47:17.646540
4,467,1,2023-11-15 12:47:17.649994
4,480,2,2023-11-15 12:47:17.655000
4,520,4,2023-11-15 12:47:17.658339
2,113,4,2023-11-15 12:47:35.257389
2,146,5,2023-11-15 12:47:35.259849
2,172,4,2023-11-15 12:47:35.262682
2,212,3,2023-11-15 12:47:35.265178
2,244,4,2023-11-15 12:47:35.266672
2,262,5,2023-11-15 12:47:35.269752
2,334,5,2023-11-15 12:47:35.271173
2,359,3,2023-11-15 12:47:35.276082
2,381,4,2023-11-15 12:47:35.278816
2,467,1,2023-11-15 12:47:35.281691
5,42,1,2023-11-15 12:47:53.801866
5,49,5,2023-11-15 12:47:53.805608
5,120,3,2023-11-15 12:47:53.807282
5,128,3,2023-11-15 12:47:53.810606
5,312,1,2023-11-15 12:47:53.814168
5,356,5,2023-11-15 12:47:53.818028
5,377,3,2023-11-15 12:47:53.821523
5,455,3,2023-11-15 12:47:53.823191
5,465,3,2023-11-15 12:47:53.830005
5,516,4,2023-11-15 12:47:53.838203
6,116,3,2023-11-15 12:50:01.487147
6,194,2,2023-11-15 12:50:01.491656
