userid,Caffeine,CoffeeType,CupNoteCategories,Body,Sourness,Sweetness,Bitterness
0,0,1,"['초콜릿', '고소함']",4,1,4,2
1,1,0,"['초콜릿', '달콤함', '고소함']",3,3,3,3
2,0,0,['고소함'],4,2,3,3
3,0,0,['고소함'],5,1,1,4
4,0,1,"['달콤함', '고소함']",3,1,5,2
5,0,1,"['꽃', '초콜릿', '달콤함', '고소함']",3,3,3,3
6,0,0,"['꽃', '과일', '향료']",3,3,3,3
7,0,0,['초콜릿'],3,1,5,2
8,0,0,"['과일', '초콜릿', '향료', '고소함']",3,2,2,1
9,0,0,['허브'],3,2,3,3
10,0,0,['꽃'],3,3,3,3
11,0,0,['고소함'],3,2,3,2
12,0,1,['초콜릿'],3,3,3,3
13,0,1,['고소함'],5,2,1,3
14,0,1,['고소함'],4,2,1,2
15,0,1,['고소함'],3,1,1,3
16,1,0,"['과일', '초콜릿', '달콤함']",2,1,5,4
17,0,0,['고소함'],4,2,3,2
18,1,1,"['초콜릿', '고소함']",5,3,1,4
19,0,1,['고소함'],5,2,2,4
20,1,1,"['꽃', '초콜릿', '향료', '달콤함']",4,4,5,3
21,0,1,['고소함'],4,2,3,2
22,1,0,"['향료', '고소함', '허브']",5,4,2,4
23,1,0,"['꽃', '과일']",3,2,3,1
24,0,0,"['과일', '초콜릿', '고소함']",3,3,2,3
25,1,1,['꽃'],3,2,2,2
26,0,0,['향료'],3,3,3,3
27,0,1,['고소함'],4,2,3,2
28,0,1,['고소함'],4,2,3,2
29,0,1,['고소함'],4,2,3,2
30,0,0,"['고소함', '허브']",4,2,4,3
31,0,0,"['향료', '고소함', '허브']",5,4,3,4
32,0,1,"['초콜릿', '달콤함']",3,1,4,2
33,0,1,"['꽃', '과일', '초콜릿', '달콤함']",2,3,3,3
34,1,0,['고소함'],3,3,3,3
35,0,0,"['달콤함', '고소함']",3,2,3,2
36,0,0,['초콜릿'],5,1,5,5
37,1,0,"['초콜릿', '고소함', '허브']",3,2,1,5
38,0,1,"['초콜릿', '향료', '달콤함', '고소함']",2,1,5,4
39,1,0,"['초콜릿', '향료', '달콤함', '고소함']",2,1,5,5
40,0,0,['과일'],3,4,3,2
41,0,0,"['꽃', '초콜릿', '고소함']",4,4,3,2
42,0,1,['달콤함'],2,1,3,2
43,1,0,"['초콜릿', '달콤함']",2,1,3,3
44,0,0,"['초콜릿', '고소함']",5,1,1,5
45,0,0,"['초콜릿', '고소함']",4,1,4,5
