id,컵 노트,꽃,과일,허브,달콤함,고소함,향료_풍미,초콜릿
43,"['토피', '맥아', '흑설탕']",0,0,0,1,0,1,0
3896,['null'],0,0,0,0,0,0,0
3458,['null'],0,0,0,0,0,0,0
22,"['다크 초콜릿', '마카다미아', '카라멜']",0,0,0,1,1,0,1
180,"['초콜릿', '과일']",0,1,0,0,0,0,1
4603,['null'],0,0,0,0,0,0,0
4684,"['자몽', '황설탕', '아몬드', '초콜릿']",0,1,0,1,1,0,1
1022,"['케인슈가', '카라멜', '밀크 초콜릿', '아몬드']",0,0,0,1,1,0,1
23,"['밀크 초콜릿', '오렌지', '베리류']",0,1,0,0,0,0,1
4823,['null'],0,0,0,0,0,0,0
3583,['null'],0,0,0,0,0,0,0
3460,['null'],0,0,0,0,0,0,0
118,"['구운 땅콩', '향신료', '카카오', '레몬']",0,1,0,0,1,1,1
4737,['null'],0,0,0,0,0,0,0
3739,['null'],0,0,0,0,0,0,0
3907,['null'],0,0,0,0,0,0,0
3084,['null'],0,0,0,0,0,0,0
4701,['null'],0,0,0,0,0,0,0
1002,"['감귤류', '사과', '카카오']",0,1,0,0,0,0,1
1055,"['사과', '탠저린', '화이트 초콜릿']",0,1,0,0,0,0,1
4443,"['흑설탕', '자두', '살구', '바닐라']",0,1,0,1,0,1,0
1476,"['캐슈넛', '구운 아몬드', '밀크 초콜릿']",0,0,0,0,1,0,1
3402,['null'],0,0,0,0,0,0,0
186,['초콜릿'],0,0,0,0,0,0,1
3241,['null'],0,0,0,0,0,0,0
127,['초콜릿'],0,0,0,0,0,0,1
4482,['null'],0,0,0,0,0,0,0
4774,['null'],0,0,0,0,0,0,0
104,"['귤', '포도', '초콜릿']",0,1,0,0,0,0,1
1477,"['녹차', '홍차', '흑설탕']",0,0,1,1,0,0,0
4717,['null'],0,0,0,0,0,0,0
3013,['null'],0,0,0,0,0,0,0
4837,['null'],0,0,0,0,0,0,0
3180,['null'],0,0,0,0,0,0,0
4772,['null'],0,0,0,0,0,0,0
4313,['null'],0,0,0,0,0,0,0
235,['초콜릿'],0,0,0,0,0,0,1
3151,['null'],0,0,0,0,0,0,0
4604,['null'],0,0,0,0,0,0,0
197,"['과일', '카라멜', '스톤프루츠']",0,1,0,1,0,0,0
4056,['null'],0,0,0,0,0,0,0
4599,['null'],0,0,0,0,0,0,0
224,"['포도', '레몬', '감귤류']",0,1,0,0,0,0,0
82,"['아몬드', '밀크 초콜릿', '군밤']",0,0,0,1,1,0,1
3152,['null'],0,0,0,0,0,0,0
3067,['null'],0,0,0,0,0,0,0
4674,['null'],0,0,0,0,0,0,0
137,['시나몬'],0,0,0,0,0,1,0
1084,"['오렌지', '다크 초콜릿']",0,1,0,0,0,0,1
9,"['딸기', '복숭아', '황설탕', '밀크 초콜릿']",0,1,0,1,0,0,1
3012,['null'],0,0,0,0,0,0,0
3016,['null'],0,0,0,0,0,0,0
1471,"['맥아', '흑맥주', '그레인', '다크 초콜릿']",0,0,0,0,1,1,1
3444,['null'],0,0,0,0,0,0,0
145,"['아몬드', '라즈베리', '황설탕', '초콜릿']",0,1,0,1,1,0,1
105,"['크랜베리', '블랙티', '캔디']",0,1,1,1,0,0,0
3459,['null'],0,0,0,0,0,0,0
1726,['null'],0,0,0,0,0,0,0
4546,['null'],0,0,0,0,0,0,0
4692,['null'],0,0,0,0,0,0,0
1473,"['초콜릿', '카카오닙스', '카라멜']",0,0,0,1,0,0,1
3142,['null'],0,0,0,0,0,0,0
1040,"['체리', '라즈베리', '밀크 초콜릿', '헤이즐넛']",0,1,0,0,1,0,1
4801,['null'],0,0,0,0,0,0,0
3810,['null'],0,0,0,0,0,0,0
41,"['블랙체리', '밀크 초콜릿']",0,1,0,0,0,0,1
3617,['null'],0,0,0,0,0,0,0
61,"['건자두', '카라멜', '다크 초콜릿']",0,1,0,1,0,0,1
4445,['null'],0,0,0,0,0,0,0
3894,['null'],0,0,0,0,0,0,0
3147,['null'],0,0,0,0,0,0,0
4766,['null'],0,0,0,0,0,0,0
4702,['null'],0,0,0,0,0,0,0
3064,['null'],0,0,0,0,0,0,0
3553,['null'],0,0,0,0,0,0,0
3588,['null'],0,0,0,0,0,0,0
1336,"['카카오닙스', '토피', '카라멜']",0,0,0,1,0,0,1
194,"['헤이즐넛', '아몬드', '흑설탕']",0,0,0,1,1,0,0
3802,['null'],0,0,0,0,0,0,0
4016,['null'],0,0,0,0,0,0,0
3909,['null'],0,0,0,0,0,0,0
1505,"['꿀', '배', '자두']",0,1,0,1,0,0,0
3908,['null'],0,0,0,0,0,0,0
1722,['null'],0,0,0,0,0,0,0
1298,"['바닐라', '호두', '황설탕', '건포도']",0,1,0,1,1,1,0
3706,['null'],0,0,0,0,0,0,0
3041,['null'],0,0,0,0,0,0,0
3836,['null'],0,0,0,0,0,0,0
225,"['사과', '건자두', '대추', '다크 초콜릿']",0,1,0,0,0,0,1
4306,['null'],0,0,0,0,0,0,0
1735,['null'],0,0,0,0,0,0,0
4488,['null'],0,0,0,0,0,0,0
117,"['복숭아', '바닐라', '마카다미아']",0,1,0,0,1,1,0
292,"['크랜베리', '카라멜', '초콜릿']",0,1,0,1,0,0,1
4778,['null'],0,0,0,0,0,0,0
3356,['null'],0,0,0,0,0,0,0
37,['null'],0,0,0,0,0,0,0
4842,['null'],0,0,0,0,0,0,0
1021,"['체리', '포도', '토마토', '사과']",0,1,0,0,0,0,0
4800,['null'],0,0,0,0,0,0,0
4459,['null'],0,0,0,0,0,0,0
3456,['null'],0,0,0,0,0,0,0
3937,['null'],0,0,0,0,0,0,0
51,"['카라멜', '황설탕', '밀크 초콜릿', '달다']",0,0,0,1,0,0,1
3018,['null'],0,0,0,0,0,0,0
1495,"['마카다미아', '땅콩', '누룽지']",0,0,0,0,1,0,0
228,['초콜릿'],0,0,0,0,0,0,1
3901,['null'],0,0,0,0,0,0,0
3903,['null'],0,0,0,0,0,0,0
1017,"['헤이즐넛', '초콜릿', '토마토']",0,1,0,0,1,0,1
3563,['null'],0,0,0,0,0,0,0
218,"['포도', '꿀', '꽃']",1,1,0,1,0,0,0
1026,"['견과류', '오렌지']",0,1,0,0,1,0,0
4446,['null'],0,0,0,0,0,0,0
3740,['null'],0,0,0,0,0,0,0
3840,['null'],0,0,0,0,0,0,0
3359,['null'],0,0,0,0,0,0,0
3601,['null'],0,0,0,0,0,0,0
4450,['null'],0,0,0,0,0,0,0
3722,['null'],0,0,0,0,0,0,0
1343,"['다크 초콜릿', '카카오닙스']",0,0,0,0,0,0,1
1710,"['오렌지', '복숭아', '밀크 초콜릿']",0,1,0,0,0,0,1
1083,"['비스킷', '견과류', '오렌지']",0,1,0,0,1,0,0
3487,['null'],0,0,0,0,0,0,0
4691,['null'],0,0,0,0,0,0,0
4797,['null'],0,0,0,0,0,0,0
4220,['null'],0,0,0,0,0,0,0
3607,['null'],0,0,0,0,0,0,0
53,"['꽃', '오렌지', '자두', '카라멜', '산미와 단맛의 조화로움']",1,1,0,1,0,0,0
1342,"['견과류', '밀크 초콜릿']",0,0,0,0,1,0,1
3345,"['곡물의 고소함', '쌀과자', '강냉이']",0,0,0,0,1,0,0
1047,"['카라멜', '블랙체리', '밀크 초콜릿', '달다']",0,1,0,1,0,0,1
204,"['바닐라', '피스타치오', '크림브륄레', '밀크 초콜릿']",0,0,0,1,1,1,1
3340,['null'],0,0,0,0,0,0,0
3912,['null'],0,0,0,0,0,0,0
173,"['황설탕', '카카오닙스', '초콜릿']",0,0,0,1,0,0,1
3048,['null'],0,0,0,0,0,0,0
4613,['null'],0,0,0,0,0,0,0
3089,['null'],0,0,0,0,0,0,0
4010,['null'],0,0,0,0,0,0,0
1016,"['견과류', '카카오', '다크 초콜릿', '황설탕', '오렌지']",0,1,0,1,1,0,1
4683,"['달다', '베리류', '복숭아', '카라멜']",0,1,0,1,0,0,0
3801,['null'],0,0,0,0,0,0,0
3804,['null'],0,0,0,0,0,0,0
1063,"['다크 초콜릿', '카카오', '달다']",0,0,0,1,0,0,1
4334,['null'],0,0,0,0,0,0,0
3006,['null'],0,0,0,0,0,0,0
