,ID,타입,로스팅 포인트,지속가능성,컵 노트,바디감,신맛,단맛,쓴맛
과테말라 디카페인,3394,디카페인,미디엄다크,,-,4,1,3,2
브라질 디카페인,4824,디카페인,미디엄다크,,-,3,1,4,3
77도 블렌드,217,블렌드,미디엄다크,,"견과류, 초콜릿, 브라운슈가",4,1,4,3
밤의 유영,4328,디카페인,미디엄다크,,-,3,2,3,3
올굳 블렌드,4676,블렌드,미디엄,,-,3,3,4,3
Campfire (캠프파이어),3218,블렌드,미디엄다크,,-,5,1,4,3
데일리스윗,43,블렌드,미디엄다크,,"토피, 맥아, 흑설탕",4,2,4,3
멜로브라운,1734,블렌드,미디엄,,-,2,2,4,1
스모키쿼츠 블렌드,3984,블렌드,미디엄다크,,-,4,1,3,3
백야 블렌드,281,블렌드,미디엄다크,,"캐슈넛, 견과류, 얼그레이, 감귤류, 달콤한, 부드러운 바디감",3,4,4,2
에티오피아 아리차 스페셜 G1 내추럴,57,싱글오리진,라이트,직접무역,"블랙베리 쥬스, 트로피칼 쥬스, 파파야, 딸기의 단맛, 체리의 상큼함",3,4,4,1
BACS 더스크 블렌드,4450,블렌드,다크,,-,4,1,3,2
디카페인 스프링 블렌드,3586,디카페인,미디엄,,-,3,4,3,2
에티오피아 예가체프G1 아리차 내추럴,3893,싱글오리진,라이트,,-,3,5,5,2
과테말라 SHB SW 디카프,1085,디카페인,미디엄,,"너트, 꿀, 레몬그라스",3,2,3,3
스윗탱고,4694,블렌드,다크,,-,5,1,5,4
디카페인 과테말라 SHB 싱글오리진,3058,디카페인,미디엄다크,,-,3,3,3,3
뛰뛰빵빵,4818,블렌드,미디엄,,-,3,2,5,2
케냐 가탕가리리 AA,4870,싱글오리진,라이트,,-,4,4,5,1
콜롬비아 슈가케인 디카페인,3148,디카페인,다크,,-,4,1,4,3
디카페인,3438,디카페인,미디엄다크,공정무역,-,4,1,5,4
램블 블렌드,105,블렌드,라이트미디엄,,"크랜베리, 블랙티, 캔디",2,4,4,2
윈터 블렌드,3585,블렌드,미디엄다크,,-,4,1,3,4
Classic Blend,196,블렌드,미디엄다크,직접무역,"초콜릿, 아몬드",4,2,5,3
얼반아이트 블렌드,3908,블렌드,다크,,-,5,1,5,3
젠틀레인,55,블렌드,미디엄다크,직접무역,"헤이즐넛, 누텔라",4,2,5,3
골든에라,41,블렌드,미디엄다크,,"블랙체리, 밀크 초콜렛, 밸런스드 바디",4,2,5,3
메이데이,60,블렌드,미디엄다크,,"과일, 쥬시, 카라멜",3,4,5,1
포세이돈 블렌딩,4682,블렌드,미디엄다크,,-,4,1,3,4
F 블렌드,1342,블렌드,미디엄다크,,"견과류, 밀크 초콜릿",4,2,4,4
콜롬비아 싱글오리진 디카페인,1049,디카페인,미디엄다크,,"사과, 텐저린, 캐러멜, 단호박, 다크초콜릿, 밸런스가 좋은",3,3,4,3
케냐AA 디카페인,3897,디카페인,미디엄다크,,-,4,4,4,3
다크 아이보리 블렌드,1476,블렌드,다크,,"캐슈넛, 구운아몬드, 밀크초콜렛",5,1,4,2
콜롬비아 디카페인,44,디카페인,미디엄다크,,"밤, 카카오, 자두",4,2,4,3
에티오피아 카욘 마운틴 내추럴,4061,싱글오리진,라이트미디엄,,-,3,4,3,1
Blend N.3,71,블렌드,미디엄,,"밀크 초콜릿, 오렌지, 좋은 밸런스",3,3,3,2
카넬리안 블렌드,3048,블렌드,미디엄다크,,-,3,2,4,4
오닉스 블렌드,3047,블렌드,미디엄다크,,-,4,2,4,4
에티오피아 하루수케,1735,싱글오리진,라이트,,-,1,4,4,1
핸디엄 밸런스 원두 다크 5kg,3524,블렌드,다크,,-,5,1,4,4
1st WAVE : Supply,22,블렌드,다크,공정무역,"다크 초콜릿, 마카다미아, 카라멜",4,1,3,4
노블레스 블렌딩,4696,블렌드,미디엄다크,,-,3,4,4,1
클래식 실버 블렌드,3244,블렌드,미디엄,,-,3,2,4,3
오버타임,1001,블렌드,미디엄다크,,"말린 과일, 초콜릿, 풀 바디, 균형감",5,1,5,1
디카페인 콜롬비아,3214,디카페인,다크,직접무역,-,4,3,4,3
콜롬비아 메사 알타,3739,싱글오리진,미디엄다크,,-,4,3,4,3
웨이브온 컴페티션 블랜드,3804,블렌드,다크,,-,5,1,3,4
그레이 포레스트,3369,블렌드,미디엄다크,유기농,-,4,2,4,2
다크 클로,3150,블렌드,다크,공정무역,-,5,1,4,4
에티오피아 G2 시다모 SW 디카프,1084,디카페인,미디엄,,"오렌지, 다크 초콜릿",2,3,3,2
시즈널 블렌드 '가을',4820,블렌드,미디엄,공정무역,-,4,2,4,2
디카페인 블렌드,226,디카페인,다크,직접무역,"견과류, 카라멜, 아몬드, 카카오, 브라운슈가",4,1,3,4
애비뉴 블렌딩,3055,블렌드,미디엄다크,,-,4,2,4,3
에티오피아 구지 우라가,224,싱글오리진,미디엄,직접무역,"청포도, 실키한 바디, 굿밸런스, 레몬주스, 감귤",2,3,2,1
에티오피아 리무 볼렌소,180,싱글오리진,미디엄다크,,"초콜릿, 과일",5,3,5,1
글램 앤 모어,1021,블렌드,라이트미디엄,,"체리, 포도, 토마토, 사과",3,4,3,1
르네테르 블렌드,110,블렌드,미디엄,,"바닐라, 오렌지, 꿀같은 달콤함, 좋은 발란스, 긴 여운",3,2,4,1
젠틀레인 디카페인,116,디카페인,미디엄다크,,-,4,2,4,3
시그니처 화이트,4486,블렌드,미디엄,직접무역,-,2,3,4,2
