,타입,로스팅 포인트,지속가능성,컵 노트,바디감,신맛,단맛,쓴맛
과테말라 디카페인,디카페인,미디엄다크,,-,4,1,3,2
브라질 디카페인,디카페인,미디엄다크,,-,3,1,4,3
77도 블렌드,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""0F4A1C11870A07D4F0E1F9FF64BFE4FA_element_289"")>",4,1,4,3
밤의 유영,디카페인,미디엄다크,,-,3,2,3,3
올굳 블렌드,블렌드,미디엄,,-,3,3,4,3
Campfire (캠프파이어),블렌드,미디엄다크,,-,5,1,4,3
데일리스윗,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""91325B5DD0D11DD81076625D0B8494DA_element_643"")>",4,2,4,3
멜로브라운,블렌드,미디엄,,-,2,2,4,1
스모키쿼츠 블렌드,블렌드,미디엄다크,,-,4,1,3,3
백야 블렌드,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""32C37E248394118DF24E3E7A90E2AD72_element_953"")>",3,4,4,2
에티오피아 아리차 스페셜 G1 내추럴,싱글오리진,라이트,직접무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""AE34B9D107C8AF3E81283C0B3BA25917_element_1065"")>",3,4,4,1
BACS 더스크 블렌드,블렌드,다크,,-,4,1,3,2
디카페인 스프링 블렌드,디카페인,미디엄,,-,3,4,3,2
에티오피아 예가체프G1 아리차 내추럴,싱글오리진,라이트,,-,3,5,5,2
과테말라 SHB SW 디카프,디카페인,미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""B59DBABD03B5429047AE2268D04C9F98_element_1453"")>",3,2,3,3
스윗탱고,블렌드,다크,,-,5,1,5,4
디카페인 과테말라 SHB 싱글오리진,디카페인,미디엄다크,,-,3,3,3,3
뛰뛰빵빵,블렌드,미디엄,,-,3,2,5,2
케냐 가탕가리리 AA,싱글오리진,라이트,,-,4,4,5,1
콜롬비아 슈가케인 디카페인,디카페인,다크,,-,4,1,4,3
디카페인,디카페인,미디엄다크,공정무역,-,4,1,5,4
램블 블렌드,블렌드,라이트미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""5D0017B3380209BC5BCE0E7E0A15C93B_element_2106"")>",2,4,4,2
윈터 블렌드,블렌드,미디엄다크,,-,4,1,3,4
Classic Blend,블렌드,미디엄다크,직접무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""2541D818EE10139722CADF4EEEED3D88_element_2313"")>",4,2,5,3
얼반아이트 블렌드,블렌드,다크,,-,5,1,5,3
젠틀레인,블렌드,미디엄다크,직접무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""41F420C7CF9661526C9EB123AB523A17_element_2525"")>",4,2,5,3
골든에라,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""06CE3D9B0F6354E9D18FECDCDD377DD2_element_2616"")>",4,2,5,3
메이데이,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""C0B4E3EEAFD142E2907216C1E008F61B_element_2704"")>",3,4,5,1
포세이돈 블렌딩,블렌드,미디엄다크,,-,4,1,3,4
F 블렌드,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""DC08DF43780C4BB2D8B3E3274515B0C2_element_2895"")>",4,2,4,4
콜롬비아 싱글오리진 디카페인,디카페인,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""6C6252DEA6D21C36B8526E5AA953AED2_element_2997"")>",3,3,4,3
케냐AA 디카페인,디카페인,미디엄다크,,-,4,4,4,3
