,타입,로스팅 포인트,지속가능성
3896,"['싱글오리진', '디카페인']",['미디엄다크'],[]
4603,"['싱글오리진', '디카페인']",['미디엄다크'],['공정무역']
3460,"['싱글오리진', '디카페인']",['미디엄'],['유기농']
4737,"['싱글오리진', '디카페인']",['라이트미디엄'],[]
4701,"['블렌드', '디카페인']",['미디엄'],[]
1055,"['싱글오리진', '디카페인']",['미디엄다크'],[]
127,"['싱글오리진', '디카페인']",['미디엄다크'],[]
1477,"['블렌드', '디카페인']",['라이트'],[]
3180,"['싱글오리진', '디카페인']",['미디엄'],[]
4599,"['싱글오리진', '디카페인']",['미디엄다크'],['공정무역']
82,"['싱글오리진', '디카페인']",['미디엄다크'],[]
137,"['블렌드', '디카페인']",['다크'],[]
1084,"['싱글오리진', '디카페인']",['미디엄'],[]
61,"['싱글오리진', '디카페인']",['다크'],[]
194,"['블렌드', '디카페인']",['미디엄'],[]
3909,"['블렌드', '디카페인']",['라이트미디엄'],['직접무역']
1505,"['싱글오리진', '디카페인']",['미디엄다크'],['공정무역']
37,"['블렌드', '디카페인']",['미디엄다크'],[]
4842,"['블렌드', '디카페인']",['미디엄다크'],[]
1495,"['싱글오리진', '디카페인']",['미디엄다크'],[]
1017,"['싱글오리진', '디카페인']",['미디엄다크'],[]
1083,"['싱글오리진', '디카페인']",['미디엄'],[]
3340,"['싱글오리진', '디카페인']",['미디엄다크'],[]
4878,"['싱글오리진', '디카페인']",['미디엄다크'],[]
4600,"['싱글오리진', '디카페인']",['미디엄다크'],['공정무역']
124,"['싱글오리진', '디카페인']",['다크'],[]
3914,"['싱글오리진', '디카페인']",['미디엄다크'],['직접무역']
1707,"['싱글오리진', '디카페인']",['미디엄다크'],[]
135,"['블렌드', '디카페인']",['라이트미디엄'],[]
4483,"['싱글오리진', '디카페인']",['다크'],[]
3895,"['싱글오리진', '디카페인']",['라이트미디엄'],[]
3069,"['블렌드', '디카페인']",['미디엄다크'],[]
3586,"['블렌드', '디카페인']",['미디엄'],[]
3333,"['싱글오리진', '디카페인']",['미디엄다크'],['공정무역']
4487,"['싱글오리진', '디카페인']",['미디엄다크'],['직접무역']
3148,"['싱글오리진', '디카페인']",['다크'],[]
1013,"['블렌드', '디카페인']",['미디엄'],[]
3196,"['싱글오리진', '디카페인']",['미디엄다크'],[]
3447,"['싱글오리진', '디카페인']",['미디엄'],['직접무역']
3614,"['블렌드', '디카페인']",['다크'],[]
4614,"['싱글오리진', '디카페인']",['미디엄다크'],[]
4408,"['블렌드', '디카페인']",['다크'],[]
1049,"['싱글오리진', '디카페인']",['미디엄다크'],[]
1296,"['싱글오리진', '디카페인']",['미디엄다크'],[]
3042,"['블렌드', '디카페인']",['미디엄다크'],[]
125,"['싱글오리진', '디카페인']",['미디엄'],[]
44,"['싱글오리진', '디카페인']",['미디엄다크'],[]
4686,"['블렌드', '디카페인']",['다크'],['공정무역']
4716,"['블렌드', '디카페인']",['미디엄'],[]
1045,"['블렌드', '디카페인']",['다크'],[]
3438,"['싱글오리진', '디카페인']",['미디엄다크'],['공정무역']
4017,"['블렌드', '디카페인']",['미디엄다크'],[]
189,"['싱글오리진', '디카페인']",['다크'],[]
1086,"['블렌드', '디카페인']",['미디엄'],[]
3075,"['블렌드', '디카페인']",['미디엄다크'],[]
3516,"['싱글오리진', '디카페인']",['미디엄'],['공정무역']
3921,"['싱글오리진', '디카페인']",['미디엄다크'],[]
116,"['블렌드', '디카페인']",['미디엄다크'],[]
4328,"['블렌드', '디카페인']",['미디엄다크'],[]
3963,"['싱글오리진', '디카페인']",['미디엄다크'],[]
3394,"['싱글오리진', '디카페인']",['미디엄다크'],[]
4172,"['블렌드', '디카페인']",['미디엄'],[]
136,"['블렌드', '디카페인']",['미디엄다크'],[]
2999,"['싱글오리진', '디카페인']",['미디엄다크'],[]
1714,"['블렌드', '디카페인']",['미디엄다크'],[]
282,"['싱글오리진', '디카페인']",['다크'],[]
3357,"['블렌드', '디카페인']",['미디엄다크'],[]
4707,"['싱글오리진', '디카페인']",['미디엄다크'],[]
3946,"['싱글오리진', '디카페인']",['미디엄다크'],[]
1573,"['싱글오리진', '디카페인']",['라이트미디엄'],[]
1085,"['싱글오리진', '디카페인']",['미디엄'],[]
3508,"['블렌드', '디카페인']",['미디엄다크'],[]
1478,"['블렌드', '디카페인']",['다크'],[]
4601,"['싱글오리진', '디카페인']",['미디엄다크'],['공정무역']
1038,"['싱글오리진', '디카페인']",['미디엄다크'],['직접무역']
3058,"['싱글오리진', '디카페인']",['미디엄다크'],[]
3206,"['싱글오리진', '디카페인']",['다크'],['공정무역']
4407,"['블렌드', '디카페인']",['다크'],[]
3725,"['싱글오리진', '디카페인']",['미디엄다크'],[]
4602,"['싱글오리진', '디카페인']",['미디엄다크'],['공정무역']
4824,"['싱글오리진', '디카페인']",['미디엄다크'],[]
1088,"['싱글오리진', '디카페인']",['미디엄다크'],[]
3587,"['블렌드', '디카페인']",['미디엄'],[]
4449,"['블렌드', '디카페인']",['다크'],['직접무역']
1094,"['싱글오리진', '디카페인']",['미디엄다크'],[]
2995,"['싱글오리진', '디카페인']",['미디엄다크'],[]
3214,"['싱글오리진', '디카페인']",['다크'],['직접무역']
226,"['블렌드', '디카페인']",['다크'],['직접무역']
3897,"['싱글오리진', '디카페인']",['미디엄다크'],[]
4004,"['싱글오리진', '디카페인']",['미디엄다크'],['공정무역']
1105,"['블렌드', '디카페인']",['미디엄다크'],[]
4643,"['싱글오리진', '디카페인']",['미디엄다크'],[]
3231,"['싱글오리진', '디카페인']",['미디엄'],[]
