,coffee_name,타입,로스팅 포인트,지속가능성,컵 노트,바디감,신맛,단맛,쓴맛
1084,에티오피아 G2 시다모 SW 디카프,디카페인,미디엄,,"오렌지, 다크 초콜릿",2,3,3,2
4699,마일드 블렌딩,블렌드,미디엄다크,,-,3,2,3,3
1727,Blend Dark,블렌드,다크,,-,4,1,3,5
3072,샹젤리제 블렌딩,블렌드,라이트미디엄,,-,2,4,5,2
3217,Hammock (해먹),블렌드,미디엄,,-,4,1,4,2
3903,러스트 블렌딩,블렌드,미디엄다크,,-,4,1,4,4
1092,인도 마이소르 너겟 엑스트라 볼드,싱글오리진,다크,,-,5,1,5,4
1722,에티오피아 반코 고티티 G1 워시드,싱글오리진,라이트,,-,2,4,3,1
1107,피타 블렌드,블렌드,미디엄다크,직접무역,"시트러스, 살구, 캐러멜, 허니",3,3,4,2
3591,케냐 AA TOP 키린야가 카리아,싱글오리진,미디엄,,-,3,3,4,2
189,과테말라 안티구아 디카페인,디카페인,다크,,초콜릿,4,1,4,4
194,Decaffeinated Blend,디카페인,미디엄,,"헤이즐넛, 아몬드, 흑설탕, 크리미한 바디감",4,3,3,2
1723,에티오피아 시다마 파피초 내추럴,싱글오리진,라이트,,-,2,3,5,1
249,알렉세이션,블렌드,미디엄,,-,3,3,4,1
3456,Enak 블렌딩,블렌드,미디엄,유기농,-,4,2,4,3
1088,콜롬비아 E.A 디카페인,디카페인,미디엄다크,,"군고구마, 군밤, 흑설탕, 견과류",4,2,4,3
1713,포트리스 블렌드,블렌드,미디엄다크,,-,4,2,4,4
281,백야 블렌드,블렌드,미디엄다크,,"캐슈넛, 견과류, 얼그레이, 감귤류, 달콤한, 부드러운 바디감",3,4,4,2
3214,디카페인 콜롬비아,디카페인,다크,직접무역,-,4,3,4,3
1494,피치 슬럽 블렌드,블렌드,라이트미디엄,,"꽃향기, 베리류, 핵과류",2,3,4,2
3026,올드네이버,블렌드,다크,,-,5,1,4,4
3901,버밀리온 블렌딩,블렌드,미디엄,,-,3,2,4,3
4603,디카페인 에티오피아,디카페인,미디엄다크,공정무역,-,3,2,3,2
3064,시그니처 블랜드 타이틀드,블렌드,미디엄,,-,3,3,5,2
3963,컨트리사이드 디카페인 싱글오리진,디카페인,미디엄다크,,-,4,3,5,4
3008,콜롬비아 후일라 수프리모,싱글오리진,미디엄다크,,-,4,3,4,2
3025,블랙가이 블랜드,블렌드,미디엄,,-,5,1,5,2
4613,프레쉬 블렌드,블렌드,라이트미디엄,,-,3,4,4,1
3910,조바티 클래식 블렌드,블렌드,미디엄다크,직접무역,-,4,2,3,3
4684,제우스 블렌딩,블렌드,미디엄,,-,4,2,4,3
3024,조이가이 블랜드,블렌드,미디엄다크,,-,4,2,5,2
4824,브라질 디카페인,디카페인,미디엄다크,,-,3,1,4,3
1712,캠프파이어 블렌드,블렌드,미디엄,,-,3,3,3,3
3090,올드스쿨(Old School),블렌드,다크,,-,4,2,5,3
