,id,바디감,신맛,단맛,쓴맛,타입_디카페인,타입_블렌드,타입_싱글오리진,지속가능성_0,지속가능성_공정무역,지속가능성_유기농,지속가능성_직접무역,로스팅 포인트_다크,로스팅 포인트_라이트,로스팅 포인트_라이트미디엄,로스팅 포인트_미디엄,로스팅 포인트_미디엄다크,꽃,과일,허브,달콤함,고소함,향료,초콜릿
0,3896,4,2,4,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,4603,3,2,3,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,3460,3,4,5,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
3,4737,2,4,3,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,4701,3,2,4,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,1055,3,3,4,2,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
6,127,3,3,4,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
7,1477,2,2,3,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
8,3180,3,3,4,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,4599,3,2,3,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,82,3,2,4,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
11,137,5,2,3,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
12,1084,2,3,3,2,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
13,61,4,2,4,3,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
14,194,4,3,3,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
15,3909,3,3,4,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
16,1505,4,1,5,2,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
17,37,4,1,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,4842,3,2,5,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,1495,4,1,4,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
20,1017,4,3,4,2,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
21,1083,2,2,3,2,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
22,3340,3,2,4,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,4878,4,2,4,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,4600,3,2,3,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,124,3,1,4,3,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
26,3914,3,3,3,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
