,id,이름,로스터리ID,커피 소개,타입,로스팅 포인트,지속가능성,컵 노트,바디감,신맛,단맛,쓴맛,카페인,나라,식품의 유형,제조원 및 소재지,유통기한,제조일자,내용량,보관 방법,원재료 및 함량,제품문의 관련 주소 및 전화번호
0,43,데일리스윗,57,중남미 블렌딩으로 깊이 있는 단맛과 초콜렛티함이 조화롭게 어우러진 하우스 블렌드 입니다. 편안한 커피에 초점을 두고 매일 마셔도 기분좋은 달콤함을 담아냈습니다.,블렌드,미디엄다크,,"['토피', ' 맥아', ' 흑설탕']",4,2,4,3,1,"브라질, 과테말라",커피(볶은커피),"(주)핸디엄, 경기도 여주시 세종대왕면 상동길 68",제조일로부터 12개월,상단 표기일,140g / 1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 보관하여 주십시오.","커피원두 100% (브라질산 60%, 과테말라산 40%)",핸디엄 고객센터 1599-2681
1,3896,브라질 세라도 디카페인,67,땅콩의 고소함과 코코아 파우더의 쌉싸름함 진득한 단맛과 클래식한 커피향  중강배전으로 로스팅하여 더욱 깊어진 커피의 맛과 향,디카페인,미디엄다크,,,4,2,4,3,0,세라도,커피,경기도 화성시 동탄지성로 306번길 68,제조일로부터 1년,주문 확인 후 제조,500g 1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,운조커피 010-4535-8819
2,3458,에티오피아 예가체프 아리차 g1 내추럴,77,"장미, 베리류의 향과 감귤류의 밝은 산미 부드러운 살구의 단맛, 복합적인 꽃향기의 여운",싱글오리진,라이트미디엄,유기농,,3,4,5,1,1,아리차,커피,경기 고양시 일산동구 장대길 75-53 나동 1층 JMD Coffee Factory,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,제이엠디커피팩토리 010-9903-8794
3,22,1st WAVE : Supply,11,묵직한 단맛과 카카오의 쓴맛이 입안을 가득 채웁니다.,블렌드,다크,공정무역,"['다크 초콜릿', ' 마카다미아', ' 카라멜']",4,1,3,4,1,"브라질, 인도",볶은커피,"뉴웨이브커피로스터스, 서울시 양천구 오목로 56길 2, 영원빌딩 103호",제조일로부터 12개월,제품하단부 표시,200g / 1kg,직사광선을 피하고 서늘한 곳에 보관하세요.,"브라질 생두 50%, 인도네시아 50%",코케 고객센터 070-4647-1868
4,180,에티오피아 리무 볼렌소,34,"내추럴 프로세싱 특유의 건포도 향미가 선명히 느껴지며, 좋은 클린컵의 부드러운 산미는 오렌지의 향미로 느껴집니다. 부드러운 질감과 묵직한 초콜릿의 단맛이 긴 여운을 남기는 복합적인 향미와 단맛의 여운이 좋은 커피입니다.",싱글오리진,미디엄다크,,"['초콜릿', ' 과일']",5,3,5,1,1,리무 볼레소,볶은커피,"베르크로스터스, 부산광역시 사상구 학감대로222번길 83, 2층",제조일로부터 1년,상품 후면 별도 표기,250g / 500g,건냉한 곳에 밀폐 보관,커피원두100%,코케 고객센터 070-4647-1868
5,4603,디카페인 에티오피아,78,"에티오피아 디카페인의 경우 미디움다크 로스팅으로 청포도,그린티,카라멜 등의 맛을 구현하였습니다. 에티오피아 원두 특성답게 산미와 베리맛과 고소함에 구현된 원두입니다.",디카페인,미디엄다크,공정무역,,3,2,3,2,0,짐마,커피,경기 고양시 일산동구 일산로372번길 30-5 1층,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,조바티커피 070-4203-6900
6,4684,제우스 블렌딩,18,허브 및 꽃의 편안한 산미와 밀크 초콜릿을 먹는 듯한 부드러운 달콤함을 주며 깔끔한 여운으로 복합적인 향미가 일관되게 유지됩니다.  ※에스프레소 뿐만 아니라 각종 브루잉 도구까지 다양한 방식으로 즐길 수 있는 커피입니다.,블렌드,미디엄,,"['자몽' , '브라운슈가' , '아몬드' , '초콜릿']",4,2,4,3,1,"브라질, 온두라스, 콜롬비아",커피,라메르판지 비앤알 / 울산광역시 북구 판지1길 30 (지상2~3층 구유동),제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,라메르판지비앤알 0522928787
7,1022,스윗 앤 모어,98,"밸런스가 좋고, 자극적이지 않은 클린한 커피라 누구나 무난하게 즐기기 좋은 커피입니다.",블렌드,미디엄다크,,"['사탕수수', ' 카라멜', ' 밀크 초콜릿', ' 아몬드']",4,2,4,1,1,"에티오피아, 과테말라, 브라질, 콜롬비아",커피,"서울시 강남구 봉은사로 68길 41, 1층",제조일로부터 1년,주문일로부터 3일이내,200g / 1kg,직사광선을 피하고 밀봉하여 실온보관,"커피원두 100%(브라질, 콜롬비아, 과테말라, 에티오피아)",코케 고객센터 070-4647-1868
8,23,2nd WAVE : Customizing,11,뉴웨이브의 대표 블렌드로써 감귤 초콜릿을 먹는 듯 균형잡힌 산미와 단맛으로 거부감 없이 입맛을 즐겁게 합니다.,블렌드,미디엄다크,공정무역,"['밀크 초콜릿', ' 오렌지', ' 베리류']",4,3,4,2,1,"브라질, 에티오피아, 인도",볶은커피,"뉴웨이브커피로스터스, 서울시 양천구 오목로 56길 2, 영원빌딩 103호",제조일로부터 12개월,제품하단부 표시,200g / 1kg,직사광선을 피하고 서늘한 곳에 보관하세요.,"브라질 생두 40%, 인도네시아 40%, 에티오피아 20%",코케 고객센터 070-4647-1868
9,4823,L 블렌드,29,단맛과 바디감에 초점을 둔 강배전의 블렌딩 원두입니다. 복합적인 단맛과 견과류의 고소함과 보다 무거운 바디감을 자랑합니다. 깔끔하면서 은은하게 커피의 여운을 길게 느낄 수 있습니다.,블렌드,다크,,,4,1,4,3,1,"브라질, 콜롬비아, 베트남",커피,"서울특별시 마포구 월드컵북로6길 88, 2층(동교동)",제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,리플로우 커피 로스터스 010-4932-9198
10,3583,스프링 블렌드,85,"겨울이 끝나고, 드디어 찾아온 따뜻하고 기분 좋은 봄바람을 타고 코속을 간지리는 기분 좋은 꽃 향과 같은 블렌드 커피라고 자부할 수 있는 향긋한 커피입니다. 청포도의 산뜻한 향과 입안에서 달콤하게 느껴지는 꿀의 단맛과 함께 사과의 기분 좋은 산미로, 이름 그대로 봄이 생각나는 향긋한 산미의 커피입니다. 산미있는 커피를 추구하는 커피이거나, 고소한 커피와 함께 세팅하기를 추천드리는 기분 좋은 산미의 블렌드 커피입니다.",블렌드,미디엄,,,3,4,3,2,1,"에티오피아, 콜롬비아, 코스타리카",커피,"서울시 강서구 공항대로 164, 411",제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,커스프 커피 010-3267-0430
11,3460,디카페인 에티오피아 예가체프 콩가 내추럴,77,"에티오피아 콩가 내츄럴의 뉘앙스를 그대로 느낄수 있는 디카페인 원두 입니다. 자두의 향미와 달고나의 단맛, 부드러운 산미, 꽃 내음이 도는 기분좋은 잔향이 특징 입니다.",디카페인,미디엄,유기농,,3,4,5,3,0,,커피,경기 고양시 일산동구 장대길 75-53 나동 1층 JMD Coffee Factory,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,제이엠디커피팩토리 010-9903-8794
12,118,숲,8,"숲 블렌드는 마치 숲에 들어온 듯한 느낌을 줍니다. 달고나의 달콤 쌈싸름한 맛, 레몬, 민트의 싱그러운 느낌이 조화를 이룹니다. 깊고 묵직하고 달콤하고 시원한 숲 속 공기를 상상해 보세요.",블렌드,미디엄,직접무역,"['볶은 땅콩', ' 향신료', ' 코코아', ' 레몬']",4,4,5,1,1,"에티오피아, 브라질",커피,"나무사이로, 경기도 성남시 분당구 석운로 33",제조일로부터 1년,별도표기,200g / 1kg,직사광선을 피하고 서늘하고 건조한 곳,아라비카 원두 100%,코케 고객센터 070-4647-1868
13,4737,콜롬비아 디카페인,75,과일에서 느껴질 듯한 향미와 더불어 가벼우면서 거칠지 않은 바디감이 특징입니다. 또한 단맛이 잘 어우러진 산미의 표현으로 구운 사과와 호박조청의 맛을 느끼실 수 있습니다.,디카페인,라이트미디엄,,,2,4,3,1,0,콜롬비아,커피,경기도 하남시 조정대로 150 (아이테코) 오렌지존 226호,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",콜롬비아 디카페인 커피원두 100%,전광수 커피 010-2936-0501
14,3739,콜롬비아 메사 알타,63,"복합적인 붉은 과일향, 레드와인과 럼, 베리잼의 풍미, 카카오의 여운을 가진 커피입니다.",싱글오리진,미디엄다크,,,4,3,4,3,1,퀸디오 킨바야,커피,경기도 파주시 조리읍 고봉로 929 2층,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,오프사이트 0507-1399-2781
15,3907,에티오피아 케라모 G1 워시드,43,"상큼하고 깔끔한 향이 인상적이며, 단 맛과 긴 여분이 좋은 커피예요.",싱글오리진,미디엄,,,2,3,3,1,1,,커피,"서울특별시 강남구 테헤란로 129, 지하 1층 2, 3호(역삼동)",제조일로부터 1년,주문 확인 후 제조,200g,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,수수커피 010-5068-4771
16,3084,송버드(Song Bird),6,조화로운 커피 한 모금을 귀로 듣는다면 청아한 새소리가 아닐까요? 순수한 재료에서 나오는 단맛과 산미의 조화에 집중 했습니다. 그린마일커피 스페셜티 블렌드 ‘송버드’,블렌드,미디엄,,,2,4,4,1,1,"과테말라, 에티오피아",커피,서울시 중랑구 신내역로 111 SKV1 센터,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,그린마일커피
17,4701,디카페인,89,커피 본연의 맛과 향미를 유지하며 카페인이 제거된커피 카페인을 드시지 못하는 손님을 위한 원두 아메리카노와 라떼 모두 잘 어울리는 원두,디카페인,미디엄,,,3,2,4,1,0,"과테말라, 콜롬비아",커피,경기도 고양시 덕양구 행신동 741-17 1층,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,커피네츄럴스페셜티 01090945303
18,1002,호이스트,101,"커피가 가지고 있는 본연의 풍미를 최대한 살리기 위해 미디엄 로스팅 했습니다. 잘 익은 과일의 다채롭고 산뜻한 풍미, 시럽과 같은 촉감을 가진 깨끗한 커피입니다.",블렌드,미디엄,,"['감귤', ' 사과쥬스', ' 시럽같은 촉감', ' 카카오', ' 다채로운']",3,3,4,1,1,"온두라스, 에티오피아, 에티오피아",커피,"[폰트오피스] 경기도 파주시 탄현면 소리개길 164-17, 3동",제조일로부터 1년,주문일로부터 7일이내,200g / 1kg,직사광선을 피하고 밀봉하여 실온보관,"커피원두 100%(온두라스 65%, 에티오피아 35%)",[폰트오피스] 031-946-8549
19,1055,콜롬비아 디카페인,102,사과잼과 탠저린의 향긋함과 부드러운 화이트 초콜릿의 풍미,디카페인,미디엄다크,,"['사과잼', ' 탠저린', ' 화이트 초콜릿']",3,3,4,2,0,안티오키아,커피,"경기도 성남시 중원구 사기막골로 124, skn테크노파크 메가센터 1411호, (주)프레이저커피",제조일로부터 1년,주문시 로스팅,200g / 1kg,실온보관,커피원두 100%(콜롬비아 100%),코케 고객센터 070-4647-1868
