id,body,sour,sweet,bitter,decaf,blend,single,지속가능성_0,지속가능성_공정무역,지속가능성_유기농,지속가능성_직접무역,로스팅 포인트_다크,로스팅 포인트_라이트,로스팅 포인트_라이트미디엄,로스팅 포인트_미디엄,로스팅 포인트_미디엄다크,꽃,과일,허브,달콤함,고소함,향료,초콜릿
3896,4,2,4,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4603,3,2,3,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3460,3,4,5,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4737,2,4,3,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4701,3,2,4,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1055,3,3,4,2,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
127,3,3,4,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1477,2,2,3,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
3180,3,3,4,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4599,3,2,3,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
82,3,2,4,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
137,5,2,3,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1084,2,3,3,2,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
61,4,2,4,3,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
194,4,3,3,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
3909,3,3,4,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1505,4,1,5,2,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
37,4,1,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4842,3,2,5,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1495,4,1,4,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1017,4,3,4,2,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
1083,2,2,3,2,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3340,3,2,4,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4878,4,2,4,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4600,3,2,3,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
124,3,1,4,3,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
3914,3,3,3,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1707,3,1,3,2,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1
135,3,4,5,2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
4483,3,2,4,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3895,3,4,4,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3069,4,3,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3586,3,4,3,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
