,로스터리ID,로스터리,로스터리 주소,로스터리 소개
0,57,언더프레셔,서울 강남구 영동대로106길 37 1층,“일상 속 특별한 휴식” 커피를 추출하는 기본 원리인 물줄기의 압력(Pressure)을 의미하는 ‘언더프레셔’는 그 이름처럼 본질에 충실한 커피를 만들어갑니다. 균형 있는 커피를 내리는 일처럼 일과 삶의 밸런스를 맞춰가는 사람들의 라이프스타일을 응원합니다. 언더프레셔의 신선한 원두와 숙련된 바리스타의 정성으로 완성한 스페셜티 커피를 경험해보세요.
1,67,운조커피,경기도 화성시 동탄지성로 306번길 68,커피가 나에게 준 커다란 변화를 모두와 나누고 싶습니다. 나의 이름이 붙은 커피를 만들고 좋은 생두를 찾고 최적의 로스팅을 위해 매일 새로운 시도와 연구를 하며 느리지만 정직한 과정을 한 잔에 담겠습니다.  지나간 시간의 고통과 노력들이 더 나은 맛으로 나타남을 알기에 지금도 앞으로도 기쁘게 고민하고 천천히 완성해 가겠습니다.
2,77,제이엠디커피팩토리,경기 고양시 일산동구 장대길 75-53 나동 1층 JMD Coffee Factory,"“JMD만의 명품 원두로 그 이상의 무한함을 창조하고자 합니다.” 커피는 이제 단지 특별한 음료, 사치스러운 이미지에 국한되지 않습니다. 30년 이상 경력의 해외현지 최고 로스터가 최고의 맛과 품질을 전달하기 위해 4단계의 품질테스트와 샘플 로스팅, 커핑, 프로파일링의 빅데이터를 가지고 본연의 맛을 살린 로스팅을 합니다. JMD는 언제나 좋은 커피와 함께 여러분들에게 찾아갈 준비가 되어있습니다."
3,11,뉴웨이브 커피로스터스,"서울특별시 양천구 오목로56길 2,1층","뉴웨이브 커피로스터스는 확고한 커피의 철학으로 우리만의 스타일로 많은 커피를 전달하고 있습니다. '뉴웨이브(New Wave)'는 커피 세대를 상징하는 '웨이브(Wave)'에서 착안해 집에서 인스턴스 커피를 즐기던 첫 번째 세대(퍼스트웨이브)를 거쳐 원두커피와 더불어 공간을 즐기는 두 번째 세대(세컨드웨이브)를 관통해, 스페셜티 커피로 대표되는 세 번째 세대(써드웨이브)까지. 커피를 즐기는 다양한 세대를 넘나들며 새로운 세대가 도래할 때마다 새로운 가이드를 제시할 수있는 롤모델이 되기를 바라는 마음을 담고 있습니다."
4,34,베르크 로스터스,부산 부산진구 전포동 356-6 지하1층,"부산에 위치한 스몰배치 스페셜티 커피 로스터리이자, 서로 다른 경험과 개성을 가진 4명이 모여 긍정적인 삶의 변화를 추구하는 회사 입니다. 각자의 위치에서 역할에 따라 다양한 활동을 하고 있으며 모든 구성원들이 즐겁게 열정을 유지하며 늘 새로운 방식으로 변화하는 매력적인 브랜드가 되고자 합니다. 커피를 만드는 저희와, 저희 커피를 사용하시는 분, 그리고 커피를 드시는 분까지 좋은 관계를 만들고 함께 하는 것에 의미를 두고 발전하는 것을 중요하게 생각합니다."
5,78,조바티커피,경기 고양시 일산동구 일산로372번길 30-5 1층,"조바티커피 로스터스입니다. Jobatti Coffee Roasters (JCR)  ""Coffee-Impressionism""  스타벅스 같은 세계적인 로스터리 카페를 꿈꾸며 조바티커피를 만들고 있습니다. 대한민국을 대표하는 로스터리로 거듭나겠습니다. 감사합니다."
6,18,라메르판지 비앤알,울산 북구 판지1길 30,"라 메르 판지 제조사인 라 메르 판지 B&R은 베이커리와 원두를 제조하는 회사로, 안전하고 질 좋은 먹거리를 제공하기 위해 HACCP인증을 마친 프리미엄 베이커리 만을 취급하는 회사입니다."
7,98,토치커피,서울시 강남구 봉은사로 68길 41,"토치커피는 커피 산지를 다니며 생두를 선별하여 수입 납품하는 브랜드입니다. 매년 개성 있는 싱글 오리진 커피들을 소개하고, 안정적이고 일관된 블렌드 커피를 제공합니다, 우리는 산지에서 부터 최종 음료가 나오기까지의 모든 과정을 컨트롤 합니다. 커피를 생산하는 사람, 그리고 그 커피를 소비하는 사람 그 둘을 잇는 가교 역할에 충실하고 그 과정속에 우리와 관계한 사람들의 행복을 추구합니다."
8,29,리플로우 커피 로스터스,"서울특별시 마포구 월드컵북로6길 88, 2층(동교동)","리플로우 커피 로스터스는 고객들이 부담 없는 가격으로 스페셜티 커피를 즐길 수 있게 합니다. 이는 커피의 품질에 대한 타협에서도, 공정 과정에서 들어가는 노력에 대한 타협에서도 나오는 것이 아닙니다. 오롯이 고객들을 생각하는 마음의 결과물일 뿐입니다. 가장 맛있으면서도 가장 편안한 스페셜티 커피, 이것이 리플로우 커피 로스터스의 지향점입니다."
9,85,커스프 커피,서울시 강남구 학동로31길 12 7F,"커스프는 스텀프타운에서 시작한 20년 경력의 대표 로스터 JAY가 창업한 뉴욕 브루클린의 로스터리 카페 입니다. 커스프는 한국에 로스터리를 구축하여 JAY가 만들어낸 커스프만의 특별한 로스팅 프로파일을 소개하고 있습니다. 뉴욕의 트렌디한 커피 커스프를 경험해보세요!  커스프는 주문 건에 대한 당일 로스팅으로 신선한 원두를 제공해드리고 있으며, 커스프팀 소속의 로스터, 바리스타 한명 한명은 매일매일 진심을 다해 커피를 볶습니다."
