caf,blend,notes,sour,sweet,bitter,body
0,1,"['초콜릿', '고소함']",1,4,2,4
1,0,"['초콜릿', '달콤함', '고소함']",3,3,3,3
0,0,['고소함'],2,3,3,4
0,0,['고소함'],1,1,4,5
0,1,"['달콤함', '고소함']",1,5,2,3
0,1,"['꽃', '초콜릿', '달콤함', '고소함']",3,3,3,3
0,0,"['꽃', '과일', '향료']",3,3,3,3
0,0,['초콜릿'],1,5,2,3
0,0,"['과일', '초콜릿', '향료', '고소함']",2,2,1,3
0,0,['허브'],2,3,3,3
0,0,['꽃'],3,3,3,3
0,0,['고소함'],2,3,2,3
0,1,['초콜릿'],3,3,3,3
0,1,['고소함'],2,1,3,5
0,1,['고소함'],2,1,2,4
0,1,['고소함'],1,1,3,3
1,0,"['과일', '초콜릿', '달콤함']",1,5,4,2
0,0,['고소함'],2,3,2,4
1,1,"['초콜릿', '고소함']",3,1,4,5
0,1,['고소함'],2,2,4,5
1,1,"['꽃', '초콜릿', '향료', '달콤함']",4,5,3,4
0,1,['고소함'],2,3,2,4
1,0,"['향료', '고소함', '허브']",4,2,4,5
1,0,"['꽃', '과일']",2,3,1,3
0,0,"['과일', '초콜릿', '고소함']",3,2,3,3
1,1,['꽃'],2,2,2,3
0,0,['향료'],3,3,3,3
0,1,['고소함'],2,3,2,4
0,1,['고소함'],2,3,2,4
0,1,['고소함'],2,3,2,4
0,0,"['고소함', '허브']",2,4,3,4
0,0,"['향료', '고소함', '허브']",4,3,4,5
0,1,"['초콜릿', '달콤함']",1,4,2,3
0,1,"['꽃', '과일', '초콜릿', '달콤함']",3,3,3,2
1,0,['고소함'],3,3,3,3
0,0,"['달콤함', '고소함']",2,3,2,3
0,0,['초콜릿'],1,5,5,5
1,0,"['초콜릿', '고소함', '허브']",2,1,5,3
0,1,"['초콜릿', '향료', '달콤함', '고소함']",1,5,4,2
1,0,"['초콜릿', '향료', '달콤함', '고소함']",1,5,5,2
0,0,['과일'],4,3,2,3
0,0,"['꽃', '초콜릿', '고소함']",4,3,2,4
0,1,['달콤함'],1,3,2,2
1,0,"['초콜릿', '달콤함']",1,3,3,2
0,0,"['초콜릿', '고소함']",1,1,5,5
0,0,"['초콜릿', '고소함']",1,4,5,4
