Name,Price,Roastery
진양조,"10,000원",스탠딩커피
클래식 에스프레소,"13,000원",리플렉트 커피 로스터스
디카페인 올 데이 블렌드,"10,600원",디카커피랩
우리집블렌드,"9,400원",챁챁커피
오닉스 블렌드,"12,000원",필리그리커피
비터스윗 라이프 에디션1,"12,000원",커피 몽타주
엘 카미노,"14,000원",피어 커피로스터스
W 블렌드,"5,500원",리플로우 커피 로스터스
디카페인 에티오피아 예가체프 워카 내추럴 스위스 워터,"13,000원",센터 커피
데일리스윗,"11,800원",언더프레셔
다크 아이보리 블렌드,"15,800원",180커피로스터스
Classic Blend,"13,000원",펠트
과테말라 안티구아 디카페인,"14,000원",리버벨
에티오피아 예가체프 게이샤 G1 내추럴,"13,000원",커스프 커피
스윗 앤 모어,"11,000원",토치커피
오버타임,"14,000원",폰트커피
나이트아울 블렌드,"12,000원",앤써커피
브릴리,"12,500원",나무사이로
썸즈업 블렌드,"7,000원",하우트 커피컴퍼니
뉴커먼,"12,000원",커넥츠커피
고소한쌀밥 블렌딩,"9,000원",원더월 커피 로스터스
플레이어,"13,000원",스티머스 커피팩토리
Decaf 디카페인,"13,000원",클라리멘토
디카페인 콜롬비아,"12,000원",선빌리지 커피
버터 슬럽 블렌드,"15,000원",슬러핀 커피
다크블루,"11,000원",블랙빈스
디카페인 블렌드,"15,000원",웨이브온 커피
에티오피아 시다모 워시드 G2,"7,200원",서가로스터리
BRICK 블랜드,"10,000원",컬러드 빈
안목블렌드,"13,000원",보사노바 커피로스터스
블렌딩 화,"11,000원",로스터리 도
온두라스 카바예로 워시드 아나에어로빅,"27,000원",보난자커피 코리아
아이에스오 백,"15,000원",크래커스 커피 로스터스
소소하게 블렌드,"8,000원",카페소소한사치
디카프 브라질 NY2/3 mountain water,"15,000원",식물학 커피로스터스
콜롬비아 디카페인,"16,000원",프레이저 커피
헬로 다크니스,"12,000원",커피 앰비언스
르네테르 블렌드,"16,000원",싸인포스트커피
에티오피아 아리차 스페셜 G1 내추럴,"15,000원",브니엘 커피로스터스
콜린,"16,000원",영앤도터스
MAUNA LOA(마우나 로아),"15,000원",마그마커피
릴렉스 블렌드,"12,000원",헬퍼 스튜디오
Hammock (해먹),"15,400원",UFO 커피로스터스
고독,"7,800원",오이르 로스터스
콜롬비아 슈가케인 디카페인,"15,000원",저스트로스터
그레이 블렌드,"9,600원",레인디어
시그니처 블랜드 타이틀드,"13,000원",라운지엑스
블렌드 루트 블랙,"13,500원",리프커피
블렌드 슈퍼 노멀,"16,000원",프로토콜 로스터스
브라운 블렌딩 커피,"7,000원",링크 커피 로스터스
이븐 블렌드,"11,000원",오드이븐
돌담in애월,"11,000원",하늘에커피
에티오피아 G2 시다모 SW 디카프,"14,000원",디카프워크룸
하드워커,"13,000원",차군커피로스터스
콜롬비아 디카페인 한국커피 셀렉션,"14,000원",한국커피
과테말라 디카페인 마운틴워터 프로세스,"18,000원",리밀커피
잘자요 디카페인,"12,000원",오프사이트
에티오피아 리무 볼렌소,"19,000원",베르크 로스터스
어느푸른저녁,"13,000원",애크로매틱 커피 컴퍼니
필베러,"12,000원",베러로스팅랩
매뉴얼,"11,000원",그럼블 커피로스터스
스트레토 블렌드,"15,000원",스트레토 커피팩토리
"LIGHT,LIGHTER 에티오피아 하마쇼 내추럴","19,000원",카페플롬
M블랙,"15,000원",커피네츄럴스페셜티
시다모 파피초 내추럴,"25,000원",수수커피
테디베어 블랜드,"14,000원",커피볶는곰
라까프 에스프레소 블렌드,"13,000원",라까프
송버드(Song Bird),"14,000원",그린마일커피
일랑일랑 블렌드,"18,000원",어나더룸
캠프파이어 블렌드,"15,000원",노스모크위드아웃파이어
디카페인 콜롬비아,"16,000원",커피가게 동경
그 해 겨울,"14,000원",안녕 가비 커피로스터스
알렉세이션,"16,000원",알렉스더커피
33도 블렌드,"14,000원",55도 커피로스터스
포스트업,"14,000원",히떼 로스터리
클래식 블렌드,"14,000원",엘 카페 커피로스터스
"시티, 서울","19,000원",커피앤시가렛
램블 블렌드,"16,000원",502 커피로스터스
BACS 다크 블렌드,"15,000원",BACS
다크 블렌드,"12,000원",블로트커피
디 카페인 블렌드,"16,000원",도화아파트먼트
1st WAVE : Supply,"19,000원",뉴웨이브 커피로스터스
Blend N.4,"12,000원",스탠딩커피
맛좋은커피블렌드,"7,400원",챁챁커피
콜롬비아 디카페인 에스프레소,"14,000원",리플렉트 커피 로스터스
카넬리안 블렌드,"13,000원",필리그리커피
프라이데이,"14,000원",센터 커피
F 블렌드,"9,200원",리플로우 커피 로스터스
율 디캐프 다크,"15,800원",180커피로스터스
