,name,roastery,info,address,img
0,마르께,선빌리지 커피,"'Fresh Roasted Coffee Company' 선빌리지커피는 신선한 뉴크롭 생두를 직수입하여 안정적인 로스팅을 통해 일관적인 원두를 생산 하려고 노력하고 있습니다.

미국에서 로스팅 연수 받은 로스터가 로스팅하며 큐그레이더가 출고 전 무작위 검수를 하여 Q.C 하고 있습니다.",경북 경산시 와촌면 갓바위로 67-2,https://d2wosiipoa41qn.cloudfront.net/O-hzQT0Ar37slCqcmfmVMs695Sg=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20220217/45aae044f5fc4bd3853e16cb55f42afc.png
1,아헨 Aachen,크레센도 커피 로스터스,"Life is perfect with a cup of coffee and some music,
2015년에 설립된 크레센도 커피로스터스는 평안과 감동을 주는 음악처럼 크레센도 커피 한 잔이 모두에게 휴식과 위로의 시간이 되었으면 하는 마음으로 신선한 커피를 준비하고 있습니다.
Probat Roaster 프로밧 로스터의 장점과 유저를 위한 다양하고 편리한 기능이 더해진 순수한 국내 기술로 탄생한 노부스 테크의 Trinitas Roaster 트리니타스 로스터를 사용하고 있습니다. 산패 방지 및 아로마 유지를 위해 아로마 밸브 패키지를 사용하고 있으며 주기적인 자가품질검사를 통해서 위생 및 품질 관리에 최선을 다하고 있습니다. 제품 생산의 모든 과정에 있어서 식품위생법을 준수하고 있습니다.","경기도 성남시 중원구 둔촌대로 400, 5층 511호",https://d2wosiipoa41qn.cloudfront.net/fPsdgknwu-Aj09VQ84Qs0bA9bVE=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20230915/090ff4f1672d4e82a9645d21b0e9d2fd.jpeg
2,진양조,스탠딩커피,"근사한 커피한잔을 위해서는 훌륭한 생두의 선별, 생두의 장점을 극대화한 로스팅, 원두에 최적화된 추출, 전문가적인 지식과 경험, 과학적으로 빈틈없는 시설과 시스템, 아카데믹하고 지적인 자세가 필요합니다.
하지만 커피는 사람이 마십니다. 문화와 감성이 녹아있어야만 그 근사한 커피 한잔이 완성됩니다.
2009년 경리단에서 처음 시작된 스탠딩커피는 이런 이성과 감성의 조화와 발전에 대해 끊임없이 연구하고 고민합니다. 10년 이상의 현장 경험을 바탕으로 탄생한 스탠딩커피의 시그니처블렌딩을 소개합니다.",경기도 포천시 소흘읍 죽엽산로298번길 56,https://d2wosiipoa41qn.cloudfront.net/9a6odqLa7HwTGEgtZBCQyEcv5Gw=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20210730/918379cad3a44971b0635806565017c3.png
3,클래식 에스프레소,리플렉트 커피 로스터스,"'우리를 커피에 비추다. 우리의 색과 진심을 커피에 반영하다'
품질 좋은 재료를 수급 하기 위하여 시즌별로 수많은 생두를 테스트하고 가장 맛있는 생두를 사용합니다.
우리의 커피는 좋은 원재료가 가지고 있는 캐릭터와 단맛을 잘 표현하기 위한 로스팅을 하고 있습니다.
커피에 대한 우리의 진심이 맛으로써 전달될 수 있도록 노력하겠습니다.",서울시 서초구 효령로 72길 57,https://d2wosiipoa41qn.cloudfront.net/UDoFsmm2YjhykDMOZ1a-9z45Ncc=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20220110/c7502c2c62514754a085a1170e2f06bf.png
4,올드타운로드 하우스블랜드,컨트리사이드,"2020년 어느 외곽지역에서 컨트리사이드는 커피 관련 다양한 경험과 장점을 바탕으로 시작되었습니다.
'컨트리사이드'라는 느낌처럼 우리는 따듯하고 편안한 스페셜티 커피를 전달하고 있습니다.
저희 모두의 구성원들은 커피 브랜드를 기반으로 우리의 가치를 담은 매력적인 브랜드를 만들고 소통하고자 합니다.
[Equipment]
Easyster 15
Stronghold S7X
ROAST Sample roast
X-rite (coffee roasting Q.C)",경기도 고양시 덕양구 행당로 1 4층 401호,https://d2wosiipoa41qn.cloudfront.net/juSlADg5XsJvte5qJcZgUAYoxGg=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20230511/9e3b25c32875432c9a5936a664d954ed.jpeg
5,디카페인 올 데이 블렌드,디카커피랩,"디카커피랩은 국내 최초 디카페인 전문 로스터리입니다.

생두 선별부터 로스팅, 디게싱 과정에 이르는 전 생산 공정에 디카페인 커피에 최적화된 테크닉을 적용하여 가장 맛있는 디카페인 커피를 만들고 있습니다.

누구나 즐길 수 있는 맛있는 디카페인 커피를 통해 일상 속에서 더욱 행복한 시간을 선사해드립니다.",서울 강남구 영동대로 602 6층,https://d2wosiipoa41qn.cloudfront.net/wWC1lhJTjRge_KQQoZ6zYr0hHAg=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20210617/dc91807cfef54f47ab2578bc9649f844.png
6,뛰뛰빵빵,올디스트커피,"' 커피는 어려운 것이 아니라 재밌는 것이다. '

AllDist Coffee = All + Dist(ance) + Coffee
올디스트커피 = (모든) + (거리감) + (커피)
모든 이에게 스페셜티 커피에 대한 거리감을 좁히기 위한 공간.

올디스트커피는 로스팅 시 '단맛'과 '밸런스'를 가장 중요하게 생각합니다.",경기 군포시 고산로539번길 7-6 묘향롯데아파트상가 104호 올디스트커피,https://d2wosiipoa41qn.cloudfront.net/wMj3J3xdfhOe4CAtTM6kNy_pU3Q=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20231001/4f82970532234571b5f9da115f466796.jpeg
7,비터스윗 라이프 에디션1,커피 몽타주,"""영화 같은 일상, 그 일상 속의 커피 한 잔""
한 편의 영화처럼 커피를 둘러싼 사람과 일상 모두를 몽타주(Montage, 편집) 할 수 있기를...
안정적인 로스팅 품질 관리로 잘 알려진 커피몽타주는 전국 150여 곳의 크고 작은 카페에 커피를 납품하고 있으며, 고품질의 생두 구매를 위하여 각종 해외 커피 옥션 참여 및 산지 직거래를 시도하고 있습니다. 좋은 생두를 찾기 위한 노력, 더 나은 로스팅을 위한 매일의 시도, 최선의 커피 추출을 위한 고민들. 맛있는 커피 한 잔에 정직한 과정을 담기 위해 우리는 오늘도 고민합니다.",서울 강동구 올림픽로48길 23-12 1층,https://d2wosiipoa41qn.cloudfront.net/NLTI1E4K6GbRHdqWcnIB4XDQPCg=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20210416/d4a2fc886f8b472cb852f475c1f575d0.png
8,디카페인 에티오피아 예가체프 워카 내추럴 스위스 워터,센터 커피,"센터커피는 최고의 커피를 찾아 여러분들께 소개해드려, 커피를 통해 ‘일상 작은 사치‘를 느끼실 수 있게 만들어진 커피 브랜드입니다. 몸에 편하고 좋은 커피는 어떤 커피인지 어떤 곳에서 어떤 농부가 만드는지, 어떻게 재배되는지, 어떻게 로스팅이 되는지 좋은 재료부터 가장 최고로 맛을 내기 위한 열정과 과정을 이야기하고자 합니다.",서울특별시 성동구 서울숲 2길 28-11,https://d2wosiipoa41qn.cloudfront.net/8li9lchClyPjaszHt6loCaqnXpo=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20210416/67b5183f238343308cae903a17226715.png
9,오닉스 블렌드,필리그리커피,"필리그리커피는 커피가 가진 섬세함에 집중합니다.
커피맛에 영향을 주는 수많은 변수들을 최대한 통제하고 가장 맛있는 한 잔이 만들어 질 수 있는 방법을 고민합니다.
품질 좋은 생두를 엄격하게 선별하고 생두에 가해지는 데미지를 최소화하는 로스팅 기술을 적용해 변함없이 맛있게 즐길 수 있는 커피를 제공해 드립니다.
[회사 연혁]
2014년 스페셜티커피 전문점 어썸드립커피 오픈
2020년 고재커피로스터스로 원두 납품 시작
2022년 원두 가공 납품 회사 필리그리커피 법인 및 로스팅 공장 설립
2023년 SCI 기술평가 우수기업 인증
어썸드립커피 프랜차이즈 사업 시작
- 14년 인천삼산본점 12월 오픈
- 23년 인천논현점 3월 오픈
- 23년 부천중동점 6월 오픈
[사용 장비]
로스터기 : 디드릭 IR-12 / 디드릭 IR-2.5 / 이카와 PRO50
커피머신 : 키스반더웨스턴 스피릿 2G
그라인더 : 빅토리아 아르두이노 미토스원 / 메저 로버S / 디팅 807스윗랩
측정기 : 싱크포",경기도 부천시 중동로356번길 6 필리그리커피,https://d2wosiipoa41qn.cloudfront.net/U9OdJRWB5hl_t5ByT_pg1OktLRc=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20230428/2da98eb98a9644f7bdd0b2ddc79fb5e5.png
